EXPLAIN_REQUESTER,EXPLAIN_TIME,SOURCE_NAME,SOURCE_SCHEMA,SOURCE_VERSION,EXPLAIN_LEVEL,STMTNO,SECTNO,OPERATOR_ID,DBPARTITIONNUM,PREDICATE_ID,HOW_APPLIED,ACTUAL_TYPE,ACTUAL_VALUE
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+8.15900000000000E+003
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+8.15900000000000E+003
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.00000000000000E+005
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+4.40200000000000E+003
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+1.16100000000000E+004
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+1.16100000000000E+004
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.17180000000000E+004
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+9.90783410138249E-001
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+9.90783410138249E-001
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+2.50000000000000E+001
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+2.50000000000000E+001
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+3.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+3.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+3.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,6,0,,,CARDINALITY,+3.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,7,0,,,CARDINALITY,+8.33333333333333E-001
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,8,0,,,CARDINALITY,+8.33333333333333E-001
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+1.08000000000000E+002
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+1.08000000000000E+002
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.25.771665,SQLC2Q31,NULLID  ,,S,1,201,5,0,,,CARDINALITY,+1.08000000000000E+002
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+1.28600000000000E+003
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+1.28600000000000E+003
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+1.17180000000000E+004
SHAIKHQ ,2024-05-30-08.16.26.997895,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+6.00000000000000E+003
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+2.73900000000000E+004
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+2.73900000000000E+004
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+7.30490000000000E+004
SHAIKHQ ,2024-05-30-08.16.29.218127,SQLC2Q31,NULLID  ,,S,1,201,4,0,,,CARDINALITY,+2.74310000000000E+004
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,1,0,,,CARDINALITY,+6.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,2,0,,,CARDINALITY,+6.00000000000000E+001
SHAIKHQ ,2024-05-30-08.16.30.336768,SQLC2Q31,NULLID  ,,S,1,201,3,0,,,CARDINALITY,+6.00000000000000E+001
