EXPLAIN_REQUESTER,EXPLAIN_TIME,SOURCE_NAME,SOURCE_SCHEMA,SOURCE_VERSION,EXPLAIN_LEVEL,STMTNO,SECTNO,OPERATOR_ID,OPERATOR_TYPE,TOTAL_COST,IO_COST,CPU_COST,FIRST_ROW_COST,RE_TOTAL_COST,RE_IO_COST,RE_CPU_COST,COMM_COST,FIRST_COMM_COST,BUFFERS,REMOTE_TOTAL_COST,REMOTE_COMM_COST
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,1,RETURN,+1.43107167968750E+004,-1.00000000000000E+000,-1.00000000000000E+000,+1.43107167968750E+004,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.39000000000000E+003,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,2,HSJOIN,+1.43107167968750E+004,-1.00000000000000E+000,-1.00000000000000E+000,+1.43107167968750E+004,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.39000000000000E+003,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,3,TBSCAN,+8.62570019531250E+003,-1.00000000000000E+000,-1.00000000000000E+000,+8.97760009765625E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.39000000000000E+003,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,4,TBSCAN,+4.77645898437500E+003,-1.00000000000000E+000,-1.00000000000000E+000,+8.65069961547852E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+6.56000000000000E+002,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,1,RETURN,+4.26468457031250E+003,-1.00000000000000E+000,-1.00000000000000E+000,+2.51296386718750E+001,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.39000000000000E+002,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,2,NLJOIN,+4.26468457031250E+003,-1.00000000000000E+000,-1.00000000000000E+000,+2.51296386718750E+001,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.39000000000000E+002,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,3,TBSCAN,+9.56385437011719E+002,-1.00000000000000E+000,-1.00000000000000E+000,+8.97760009765625E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.14000000000000E+002,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,4,FETCH ,+1.68036231994629E+001,-1.00000000000000E+000,-1.00000000000000E+000,+1.61520385742188E+001,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+2.50000000000000E+001,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,5,IXSCAN,+8.36946582794189E+000,-1.00000000000000E+000,-1.00000000000000E+000,+8.35546588897705E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+3.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,1,RETURN,+1.69550537109375E+002,-1.00000000000000E+000,-1.00000000000000E+000,+3.00590610504150E+001,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.40000000000000E+001,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,2,NLJOIN,+1.69550537109375E+002,-1.00000000000000E+000,-1.00000000000000E+000,+3.00590610504150E+001,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.40000000000000E+001,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,3,TBSCAN,+1.42955570220947E+001,-1.00000000000000E+000,-1.00000000000000E+000,+1.42955570220947E+001,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+0.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,4,SORT  ,+1.42440767288208E+001,-1.00000000000000E+000,-1.00000000000000E+000,+1.42440767288208E+001,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+2.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,5,FETCH ,+1.36849193572998E+001,-1.00000000000000E+000,-1.00000000000000E+000,+9.08931922912598E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+2.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,6,IXSCAN,+3.66351985931396E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.59832000732422E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000,+1.00000000000000E+000,-1.00000000000000E+000,-1.00000000000000E+000
