EXPLAIN_REQUESTER,EXPLAIN_TIME,SOURCE_NAME,SOURCE_SCHEMA,SOURCE_VERSION,EXPLAIN_LEVEL,STMTNO,SECTNO,OPERATOR_ID,PREDICATE_ID,HOW_APPLIED,WHEN_EVALUATED,RELOP_TYPE,SUBQUERY,FILTER_FACTOR,PREDICATE_TEXT,RANGE_NUM,INDEX_COLSEQ,FF_SOURCE_SCHEMA,FF_SOURCE_NAME,FF_SOURCE_TYPE
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.C_FIRST_SHIPTO_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,4,3,SARG      ,   ,LE,N,+7.13557600975037E-001,(1958 <= Q2.D_YEAR),,255,,,
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,EQ,N,+8.10004249215126E-002,(Q2.D_MOY = 12),,255,,,
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CP_END_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,4,3,SARG      ,   ,LE,N,+9.37648832798004E-001,(Q2.D_SAME_DAY_LQ <= 2484559),,255,,,
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,4,4,SARG      ,   ,LE,N,+1.00000000000000E+000,(Q2.D_QOY <= 4),,255,,,
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,5,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CP_END_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,5,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.CP_END_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,2,2,JOIN      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WEB_CLOSE_DATE_SK),,255,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,5,3,SARG      ,   ,EQ,N,+1.00000000000000E+000,(Q1.WEB_GMT_OFFSET = -005.00),,255,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,5,4,SARG      ,   ,LE,N,+1.00000000000000E+000,(1 <= Q1.WEB_MKT_ID),,255,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,8,2,START     ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WEB_CLOSE_DATE_SK),,1,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,8,2,STOP      ,   ,EQ,N,+1.36894414026756E-005,(Q2.D_DATE_SK = Q1.WEB_CLOSE_DATE_SK),,1,,,
