EXPLAIN_REQUESTER,EXPLAIN_TIME,SOURCE_NAME,SOURCE_SCHEMA,SOURCE_VERSION,EXPLAIN_LEVEL,STMTNO,SECTNO,STREAM_ID,SOURCE_TYPE,SOURCE_ID,TARGET_TYPE,TARGET_ID,OBJECT_SCHEMA,OBJECT_NAME,STREAM_COUNT,COLUMN_COUNT,PREDICATE_ID,COLUMN_NAMES,PMID,SINGLE_NODE,PARTITION_COLUMNS,SEQUENCE_SIZES,OBJECT_TENANTID
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,CUSTOMER,+1.00000000000000E+005,3,-1,+Q1.$RID$+Q1.C_BIRTH_YEAR+Q1.C_FIRST_SHIPTO_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+1.00000000000000E+005,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,4,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,5,-1,+Q2.$RID$+Q2.D_WEEK_SEQ+Q2.D_YEAR+Q2.D_MOY+Q2.D_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,4,O,4,O,2,,,+3.98353393554688E+003,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.11.238384,SQLC2Q31,NULLID  ,,S,1,201,5,O,2,O,1,,,+1.04386367187500E+005,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,3,TPCDS   ,CATALOG_PAGE,+1.17180000000000E+004,2,-1,+Q1.$RID$+Q1.CP_END_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,2,O,3,O,2,,,+1.17180000000000E+004,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,5,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.D_DATE_SK(A)+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,4,O,5,O,4,,,+1.00000000000000E+000,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,5,D,-1,O,4,TPCDS   ,DATE_DIM2,+7.30490000000000E+004,3,-1,+Q2.D_MOY+Q2.D_SAME_DAY_LQ+Q2.D_QOY,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,6,O,4,O,2,,,+2.00412082672119E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.12.871381,SQLC2Q31,NULLID  ,,S,1,201,7,O,2,O,1,,,+2.34842875000000E+005,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,1,D,-1,O,6,SYSIBM  ,SQL240509064036550,+3.00000000000000E+001,1,-1,+Q1.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,2,O,6,O,5,,,+3.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,3,D,-1,O,5,TPCDS   ,WEB_SITE,+3.00000000000000E+001,3,-1,+Q1.WEB_GMT_OFFSET+Q1.WEB_MKT_ID+Q1.WEB_CLOSE_DATE_SK,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,4,O,5,O,4,,,+3.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,5,O,4,O,3,,,+3.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,6,O,3,O,2,,,+3.00000000000000E+001,-1,-1,,0,,,,
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,7,D,-1,O,8,SYSIBM  ,SQL240509072221830,+7.30490000000000E+004,2,-1,+Q2.D_DATE_SK(A)+Q2.$RID$,-1,,,,0
SHAIKHQ ,2024-05-30-08.16.24.574183,SQLC2Q31,NULLID  ,,S,1,201,8,O,8,O,7,,,+1.00000000000000E+000,-1,-1,,0,,,,
