3,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_MODE_SK , TPCDS.DATE_DIM2.D_FY_YEAR FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOM <= 31 AND TPCDS.CATALOG_SALES.CS_SALES_PRICE >= +00003.89"
53,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_MODE_SK , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_NET_PAID_INC_TAX >= +00363.58 AND TPCDS.CATALOG_SALES.CS_NET_PAID_INC_SHIP >= +00978.88"
82,"SELECT TPCDS.CATALOG_SALES.CS_EXT_SALES_PRICE , TPCDS.DATE_DIM2.D_MOY FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_SHIP_CUSTOMER_SK >= 8933 AND TPCDS.CATALOG_SALES.CS_EXT_TAX >= +00006.19"
92,"SELECT TPCDS.CATALOG_SALES.CS_EXT_WHOLESALE_COST , TPCDS.DATE_DIM2.D_QUARTER_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_SHIP_CDEMO_SK >= 698489 AND TPCDS.CATALOG_SALES.CS_SOLD_TIME_SK >= 20711"
99,"SELECT TPCDS.DATE_DIM2.D_MONTH_SEQ , TPCDS.CATALOG_SALES.CS_SHIP_ADDR_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.CATALOG_SALES ON TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ >= 173 AND TPCDS.CATALOG_SALES.CS_EXT_SALES_PRICE <= +01835.52"
101,"SELECT TPCDS.CATALOG_SALES.CS_BILL_CUSTOMER_SK , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_SAME_DAY_LQ <= 2484559 AND TPCDS.DATE_DIM2.D_QOY <= 3"
123,"SELECT TPCDS.CATALOG_SALES.CS_LIST_PRICE , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_DATE_SK <= 2480381 AND TPCDS.DATE_DIM2.D_FY_YEAR <= 2027"
130,"SELECT TPCDS.CATALOG_SALES.CS_COUPON_AMT , TPCDS.DATE_DIM2.D_DOM FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_LAST_DOM >= 2439063 AND TPCDS.CATALOG_SALES.CS_CATALOG_PAGE_SK >= 2069"
203,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_ADDR_SK , TPCDS.DATE_DIM2.D_QOY FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_EXT_SHIP_COST <= +00782.13 AND TPCDS.CATALOG_SALES.CS_BILL_ADDR_SK >= 919"
229,"SELECT TPCDS.CATALOG_SALES.CS_BILL_CUSTOMER_SK , TPCDS.DATE_DIM2.D_FY_WEEK_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_DOM <= 29 AND TPCDS.CATALOG_SALES.CS_EXT_WHOLESALE_COST >= +01179.36"
231,"SELECT TPCDS.DATE_DIM2.D_FIRST_DOM , TPCDS.CATALOG_SALES.CS_NET_PROFIT FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.CATALOG_SALES ON TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_CALL_CENTER_SK >= 2 AND TPCDS.DATE_DIM2.D_QUARTER_SEQ <= 801"
341,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_CUSTOMER_SK , TPCDS.DATE_DIM2.D_SAME_DAY_LQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_ITEM_SK >= 277 AND TPCDS.DATE_DIM2.D_SAME_DAY_LY >= 2414876"
519,"SELECT TPCDS.CATALOG_SALES.CS_EXT_LIST_PRICE , TPCDS.DATE_DIM2.D_MOY FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_NET_PAID_INC_SHIP >= +00528.50 AND TPCDS.DATE_DIM2.D_WEEK_SEQ >= 1202"
582,"SELECT TPCDS.DATE_DIM2.D_MONTH_SEQ , TPCDS.CATALOG_SALES.CS_BILL_CDEMO_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.CATALOG_SALES ON TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_BILL_ADDR_SK <= 39743 AND TPCDS.CATALOG_SALES.CS_NET_PAID_INC_TAX <= +06311.85"
602,"SELECT TPCDS.CATALOG_SALES.CS_EXT_SHIP_COST , TPCDS.DATE_DIM2.D_SAME_DAY_LY FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_SHIP_CDEMO_SK <= 1501387 AND TPCDS.CATALOG_SALES.CS_BILL_ADDR_SK >= 919"
632,"SELECT TPCDS.CATALOG_SALES.CS_BILL_CDEMO_SK , TPCDS.DATE_DIM2.D_SAME_DAY_LQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_QOY <= 4 AND TPCDS.CATALOG_SALES.CS_LIST_PRICE <= +00097.65"
714,"SELECT TPCDS.CATALOG_SALES.CS_WHOLESALE_COST , TPCDS.DATE_DIM2.D_FIRST_DOM FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_ORDER_NUMBER <= 107022 AND TPCDS.CATALOG_SALES.CS_SHIP_MODE_SK >= 2"
783,"SELECT TPCDS.CATALOG_SALES.CS_ORDER_NUMBER , TPCDS.DATE_DIM2.D_MOY FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_LIST_PRICE >= +00006.27 AND TPCDS.CATALOG_SALES.CS_EXT_TAX >= +00015.16"
925,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_CDEMO_SK , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_SHIP_HDEMO_SK >= 1 AND TPCDS.CATALOG_SALES.CS_NET_PAID <= +06198.14"
1066,"SELECT TPCDS.CATALOG_SALES.CS_WHOLESALE_COST , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_WAREHOUSE_SK >= 2 AND TPCDS.DATE_DIM2.D_SAME_DAY_LY >= 2414990"
1120,"SELECT TPCDS.DATE_DIM2.D_FY_YEAR , TPCDS.CATALOG_SALES.CS_SHIP_ADDR_SK FROM TPCDS.DATE_DIM2 INNER JOIN TPCDS.CATALOG_SALES ON TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK = TPCDS.DATE_DIM2.D_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_EXT_SALES_PRICE >= +00422.67 AND TPCDS.DATE_DIM2.D_DATE_SK >= 2426555"
